Date,Forecast
2021-05-02,1.3137605652035738
2021-05-03,1.2815243285390248
2021-05-04,1.2556478633241348
2021-05-05,1.2348764730720656
2021-05-06,1.218202995863305
2021-05-07,1.2048189691391733
2021-05-08,1.1940754290179711
2021-05-09,1.1854514433733692
2021-05-10,1.1785288529088418
2021-05-11,1.1729719954748825
2021-05-12,1.1685114305029147
2021-05-13,1.164930874387231
2021-05-14,1.1620567133385458
2021-05-15,1.1597495852090365
2021-05-16,1.1578976221089146
2021-05-17,1.1564110261629224
2021-05-18,1.155217715396366
2021-05-19,1.154259828628668
2021-05-20,1.1534909199039287
2021-05-21,1.1528737064222128
2021-05-22,1.1523782607733928
2021-05-23,1.1519805598186887
2021-05-24,1.1516613198581616
2021-05-25,1.151405061603833
2021-05-26,1.151199359620901
2021-05-27,1.1510342398440063
2021-05-28,1.1509016959553517
2021-05-29,1.1507953011748473
2021-05-30,1.1507098966387839
2021-05-31,1.1506413412571606
2021-06-01,1.1505863109207621
2021-06-02,1.1505421373219518
2021-06-03,1.1505066785739306
2021-06-04,1.1504782153550606
2021-06-05,1.150455367542499
2021-06-06,1.1504370272928872
2021-06-07,1.1504223053253058
2021-06-08,1.150410487801878
2021-06-09,1.150401001715239
2021-06-10,1.1503933871045917
2021-06-11,1.1503872747531534
2021-06-12,1.1503823682855958
2021-06-13,1.1503784297974156
2021-06-14,1.1503752683194348
2021-06-15,1.1503727305580997
2021-06-16,1.1503706934625915
2021-06-17,1.1503690582583457
2021-06-18,1.1503677456576775
2021-06-19,1.150366692015285
2021-06-20,1.150365846242219
2021-06-21,1.150365167328686
2021-06-22,1.1503646223555677
2021-06-23,1.1503641848982402
2021-06-24,1.150363833745299
2021-06-25,1.1503635518700615
2021-06-26,1.1503633256049781
2021-06-27,1.1503631439789208
2021-06-28,1.1503629981852166
2021-06-29,1.1503628811546291
2021-06-30,1.1503627872125863
2021-07-01,1.150362711804032
2021-07-02,1.1503626512725609
2021-07-03,1.1503626026831264
2021-07-04,1.1503625636797272
2021-07-05,1.1503625323711686
2021-07-06,1.1503625072393633
2021-07-07,1.1503624870657214
2021-07-08,1.150362470872065
2021-07-09,1.150362457873197
2021-07-10,1.150362447438829
2021-07-11,1.15036243906302
2021-07-12,1.1503624323396444
2021-07-13,1.1503624269426993
2021-07-14,1.1503624226104983
2021-07-15,1.1503624191329815
2021-07-16,1.1503624163415318
2021-07-17,1.150362414100797
2021-07-18,1.1503624123021288
2021-07-19,1.1503624108583133
2021-07-20,1.150362409699343
2021-07-21,1.1503624087690218
2021-07-22,1.1503624080222403
2021-07-23,1.1503624074227887
2021-07-24,1.1503624069416007
2021-07-25,1.1503624065553446
2021-07-26,1.1503624062452915
2021-07-27,1.1503624059964077
2021-07-28,1.1503624057966253
2021-07-29,1.1503624056362574
2021-07-30,1.1503624055075279
2021-07-31,1.150362405404195
2021-08-01,1.150362405321248
2021-08-02,1.1503624052546655
2021-08-03,1.1503624052012187
2021-08-04,1.1503624051583163
2021-08-05,1.1503624051238779
2021-08-06,1.1503624050962338
2021-08-07,1.1503624050740435
2021-08-08,1.150362405056231
2021-08-09,1.1503624050419328
2021-08-10,1.1503624050304553
2021-08-11,1.1503624050212422
2021-08-12,1.1503624050138468
2021-08-13,1.1503624050079102
2021-08-14,1.150362405003145
2021-08-15,1.1503624049993197
2021-08-16,1.1503624049962493
2021-08-17,1.1503624049937846
2021-08-18,1.1503624049918062
2021-08-19,1.1503624049902181
2021-08-20,1.1503624049889432
2021-08-21,1.15036240498792
2021-08-22,1.1503624049870984
2021-08-23,1.150362404986439
2021-08-24,1.1503624049859096
2021-08-25,1.1503624049854846
2021-08-26,1.1503624049851435
2021-08-27,1.15036240498487
2021-08-28,1.1503624049846501
2021-08-29,1.1503624049844738
